ANO,UF,REGIAO,REDE,nota_media,nota_mediana,n_participantes,AREA
2022,AC,Norte,Privada,568.63,574.50,478,Ciências Humanas
2022,AC,Norte,Privada,528.75,527.10,478,Ciências da Natureza
2022,AC,Norte,Privada,547.33,554.80,478,Linguagens e Códigos
2022,AC,Norte,Privada,590.15,595.35,478,Matemática
2022,AC,Norte,Privada,787.70,840.00,478,Redação
2022,AC,Norte,Pública,495.47,497.10,2571,Ciências Humanas
2022,AC,Norte,Pública,468.43,460.75,2571,Ciências da Natureza
2022,AC,Norte,Pública,484.00,490.30,2571,Linguagens e Códigos
2022,AC,Norte,Pública,495.97,481.95,2571,Matemática
2022,AC,Norte,Pública,576.36,580.00,2571,Redação
2022,AL,Nordeste,Privada,551.84,557.80,3273,Ciências Humanas
2022,AL,Nordeste,Privada,516.23,513.00,3273,Ciências da Natureza
2022,AL,Nordeste,Privada,535.53,543.60,3273,Linguagens e Códigos
2022,AL,Nordeste,Privada,579.66,581.60,3273,Matemática
2022,AL,Nordeste,Privada,729.34,760.00,3273,Redação
2022,AL,Nordeste,Pública,498.64,500.70,7682,Ciências Humanas
2022,AL,Nordeste,Pública,475.56,467.10,7682,Ciências da Natureza
2022,AL,Nordeste,Pública,488.02,491.80,7682,Linguagens e Códigos
2022,AL,Nordeste,Pública,510.06,493.15,7682,Matemática
2022,AL,Nordeste,Pública,575.88,600.00,7682,Redação
2022,AM,Norte,Privada,567.37,574.60,1667,Ciências Humanas
2022,AM,Norte,Privada,529.59,529.30,1667,Ciências da Natureza
2022,AM,Norte,Privada,555.25,566.90,1667,Linguagens e Códigos
2022,AM,Norte,Privada,593.19,597.00,1667,Matemática
2022,AM,Norte,Privada,707.13,720.00,1667,Redação
2022,AM,Norte,Pública,486.54,488.50,12471,Ciências Humanas
2022,AM,Norte,Pública,464.06,455.20,12471,Ciências da Natureza
2022,AM,Norte,Pública,476.78,480.75,12471,Linguagens e Códigos
2022,AM,Norte,Pública,481.03,463.75,12471,Matemática
2022,AM,Norte,Pública,520.85,560.00,12471,Redação
2022,AP,Norte,Privada,557.05,563.25,570,Ciências Humanas
2022,AP,Norte,Privada,515.73,515.65,570,Ciências da Natureza
2022,AP,Norte,Privada,545.27,558.35,570,Linguagens e Códigos
2022,AP,Norte,Privada,563.20,554.65,570,Matemática
2022,AP,Norte,Privada,733.30,760.00,570,Redação
2022,AP,Norte,Pública,494.28,496.40,2348,Ciências Humanas
2022,AP,Norte,Pública,464.13,453.90,2348,Ciências da Natureza
2022,AP,Norte,Pública,479.30,481.40,2348,Linguagens e Códigos
2022,AP,Norte,Pública,480.26,466.75,2348,Matemática
2022,AP,Norte,Pública,564.19,580.00,2348,Redação
2022,BA,Nordeste,Privada,565.64,571.80,10958,Ciências Humanas
2022,BA,Nordeste,Privada,529.14,528.85,10958,Ciências da Natureza
2022,BA,Nordeste,Privada,549.80,557.90,10958,Linguagens e Códigos
2022,BA,Nordeste,Privada,594.60,601.40,10958,Matemática
2022,BA,Nordeste,Privada,759.51,780.00,10958,Redação
2022,BA,Nordeste,Pública,505.01,507.40,22387,Ciências Humanas
2022,BA,Nordeste,Pública,475.62,466.70,22387,Ciências da Natureza
2022,BA,Nordeste,Pública,494.53,500.70,22387,Linguagens e Códigos
2022,BA,Nordeste,Pública,505.15,490.30,22387,Matemática
2022,BA,Nordeste,Pública,582.21,600.00,22387,Redação
2022,CE,Nordeste,Privada,579.79,587.00,7317,Ciências Humanas
2022,CE,Nordeste,Privada,541.97,541.20,7317,Ciências da Natureza
2022,CE,Nordeste,Privada,557.74,566.10,7317,Linguagens e Códigos
2022,CE,Nordeste,Privada,629.18,633.80,7317,Matemática
2022,CE,Nordeste,Privada,788.61,820.00,7317,Redação
2022,CE,Nordeste,Pública,486.20,487.90,63644,Ciências Humanas
2022,CE,Nordeste,Pública,466.89,457.40,63644,Ciências da Natureza
2022,CE,Nordeste,Pública,474.71,478.10,63644,Linguagens e Códigos
2022,CE,Nordeste,Pública,494.57,476.10,63644,Matemática
2022,CE,Nordeste,Pública,527.98,580.00,63644,Redação
2022,DF,Centro-Oeste,Privada,581.20,586.60,6161,Ciências Humanas
2022,DF,Centro-Oeste,Privada,548.56,550.90,6161,Ciências da Natureza
2022,DF,Centro-Oeste,Privada,570.39,576.70,6161,Linguagens e Códigos
2022,DF,Centro-Oeste,Privada,615.82,619.30,6161,Matemática
2022,DF,Centro-Oeste,Privada,751.83,780.00,6161,Redação
2022,DF,Centro-Oeste,Pública,522.76,525.90,9464,Ciências Humanas
2022,DF,Centro-Oeste,Pública,485.82,478.50,9464,Ciências da Natureza
2022,DF,Centro-Oeste,Pública,522.13,529.80,9464,Linguagens e Códigos
2022,DF,Centro-Oeste,Pública,523.15,512.40,9464,Matemática
2022,DF,Centro-Oeste,Pública,592.75,600.00,9464,Redação
2022,ES,Sudeste,Privada,581.48,586.50,3280,Ciências Humanas
2022,ES,Sudeste,Privada,544.70,547.20,3280,Ciências da Natureza
2022,ES,Sudeste,Privada,561.71,569.70,3280,Linguagens e Códigos
2022,ES,Sudeste,Privada,630.98,637.00,3280,Matemática
2022,ES,Sudeste,Privada,789.57,840.00,3280,Redação
2022,ES,Sudeste,Pública,530.00,531.50,11965,Ciências Humanas
2022,ES,Sudeste,Pública,494.11,485.95,11965,Ciências da Natureza
2022,ES,Sudeste,Pública,516.22,522.60,11965,Linguagens e Códigos
2022,ES,Sudeste,Pública,544.08,535.30,11965,Matemática
2022,ES,Sudeste,Pública,630.12,640.00,11965,Redação
2022,GO,Centro-Oeste,Privada,573.84,579.10,7574,Ciências Humanas
2022,GO,Centro-Oeste,Privada,537.85,538.50,7574,Ciências da Natureza
2022,GO,Centro-Oeste,Privada,556.88,564.90,7574,Linguagens e Códigos
2022,GO,Centro-Oeste,Privada,612.52,617.75,7574,Matemática
2022,GO,Centro-Oeste,Privada,777.57,820.00,7574,Redação
2022,GO,Centro-Oeste,Pública,504.61,508.05,20509,Ciências Humanas
2022,GO,Centro-Oeste,Pública,475.68,467.75,20509,Ciências da Natureza
2022,GO,Centro-Oeste,Pública,494.75,501.60,20509,Linguagens e Códigos
2022,GO,Centro-Oeste,Pública,510.55,498.30,20509,Matemática
2022,GO,Centro-Oeste,Pública,575.08,600.00,20509,Redação
2022,MA,Nordeste,Privada,556.97,563.10,3196,Ciências Humanas
2022,MA,Nordeste,Privada,519.27,516.75,3196,Ciências da Natureza
2022,MA,Nordeste,Privada,539.70,547.60,3196,Linguagens e Códigos
2022,MA,Nordeste,Privada,588.48,589.10,3196,Matemática
2022,MA,Nordeste,Privada,767.75,800.00,3196,Redação
2022,MA,Nordeste,Pública,485.75,487.60,17376,Ciências Humanas
2022,MA,Nordeste,Pública,466.83,457.60,17376,Ciências da Natureza
2022,MA,Nordeste,Pública,472.34,475.70,17376,Linguagens e Códigos
2022,MA,Nordeste,Pública,489.19,472.90,17376,Matemática
2022,MA,Nordeste,Pública,570.64,600.00,17376,Redação
2022,MG,Sudeste,Privada,590.13,596.00,18396,Ciências Humanas
2022,MG,Sudeste,Privada,553.51,556.30,18396,Ciências da Natureza
2022,MG,Sudeste,Privada,570.39,577.40,18396,Linguagens e Códigos
2022,MG,Sudeste,Privada,648.49,654.50,18396,Matemática
2022,MG,Sudeste,Privada,804.91,840.00,18396,Redação
2022,MG,Sudeste,Pública,531.62,535.10,35130,Ciências Humanas
2022,MG,Sudeste,Pública,497.21,490.90,35130,Ciências da Natureza
2022,MG,Sudeste,Pública,521.36,528.80,35130,Linguagens e Códigos
2022,MG,Sudeste,Pública,551.48,547.10,35130,Matemática
2022,MG,Sudeste,Pública,623.53,620.00,35130,Redação
2022,MS,Centro-Oeste,Privada,567.67,575.00,2422,Ciências Humanas
2022,MS,Centro-Oeste,Privada,541.51,544.35,2422,Ciências da Natureza
2022,MS,Centro-Oeste,Privada,553.82,562.45,2422,Linguagens e Códigos
2022,MS,Centro-Oeste,Privada,616.32,624.85,2422,Matemática
2022,MS,Centro-Oeste,Privada,754.13,780.00,2422,Redação
2022,MS,Centro-Oeste,Pública,509.92,513.90,6946,Ciências Humanas
2022,MS,Centro-Oeste,Pública,479.83,470.90,6946,Ciências da Natureza
2022,MS,Centro-Oeste,Pública,502.69,512.50,6946,Linguagens e Códigos
2022,MS,Centro-Oeste,Pública,517.53,506.30,6946,Matemática
2022,MS,Centro-Oeste,Pública,585.79,600.00,6946,Redação
2022,MT,Centro-Oeste,Privada,562.46,567.90,3134,Ciências Humanas
2022,MT,Centro-Oeste,Privada,526.00,526.10,3134,Ciências da Natureza
2022,MT,Centro-Oeste,Privada,545.60,553.30,3134,Linguagens e Códigos
2022,MT,Centro-Oeste,Privada,601.80,607.90,3134,Matemática
2022,MT,Centro-Oeste,Privada,761.46,800.00,3134,Redação
2022,MT,Centro-Oeste,Pública,502.95,507.20,8877,Ciências Humanas
2022,MT,Centro-Oeste,Pública,476.27,468.50,8877,Ciências da Natureza
2022,MT,Centro-Oeste,Pública,492.70,499.10,8877,Linguagens e Códigos
2022,MT,Centro-Oeste,Pública,507.88,495.90,8877,Matemática
2022,MT,Centro-Oeste,Pública,569.56,600.00,8877,Redação
2022,PA,Norte,Privada,559.60,564.30,6714,Ciências Humanas
2022,PA,Norte,Privada,517.29,512.40,6714,Ciências da Natureza
2022,PA,Norte,Privada,538.43,545.20,6714,Linguagens e Códigos
2022,PA,Norte,Privada,573.46,575.40,6714,Matemática
2022,PA,Norte,Privada,768.27,820.00,6714,Redação
2022,PA,Norte,Pública,492.72,495.30,19304,Ciências Humanas
2022,PA,Norte,Pública,466.19,457.60,19304,Ciências da Natureza
2022,PA,Norte,Pública,475.88,480.40,19304,Linguagens e Códigos
2022,PA,Norte,Pública,485.84,469.80,19304,Matemática
2022,PA,Norte,Pública,572.92,580.00,19304,Redação
2022,PB,Nordeste,Privada,566.50,570.30,4558,Ciências Humanas
2022,PB,Nordeste,Privada,528.48,525.60,4558,Ciências da Natureza
2022,PB,Nordeste,Privada,547.55,554.60,4558,Linguagens e Códigos
2022,PB,Nordeste,Privada,600.30,604.35,4558,Matemática
2022,PB,Nordeste,Privada,777.39,820.00,4558,Redação
2022,PB,Nordeste,Pública,500.85,502.70,11216,Ciências Humanas
2022,PB,Nordeste,Pública,474.86,467.40,11216,Ciências da Natureza
2022,PB,Nordeste,Pública,489.67,494.50,11216,Linguagens e Códigos
2022,PB,Nordeste,Pública,503.52,487.10,11216,Matemática
2022,PB,Nordeste,Pública,595.17,620.00,11216,Redação
2022,PE,Nordeste,Privada,564.84,570.20,8268,Ciências Humanas
2022,PE,Nordeste,Privada,530.00,528.40,8268,Ciências da Natureza
2022,PE,Nordeste,Privada,550.59,559.50,8268,Linguagens e Códigos
2022,PE,Nordeste,Privada,607.19,611.30,8268,Matemática
2022,PE,Nordeste,Privada,748.77,780.00,8268,Redação
2022,PE,Nordeste,Pública,504.66,506.20,23996,Ciências Humanas
2022,PE,Nordeste,Pública,481.11,473.50,23996,Ciências da Natureza
