ANO,UF,REDE,FAIXA_NOTA,n_participantes,pct_participantes
2022,AC,Privada,Até 400,4,0.84
2022,AC,Privada,400 a 500,39,8.16
2022,AC,Privada,500 a 600,177,37.03
2022,AC,Privada,600 a 700,210,43.93
2022,AC,Privada,Acima de 700,48,10.04
2022,AC,Pública,Até 400,187,7.27
2022,AC,Pública,400 a 500,1067,41.50
2022,AC,Pública,500 a 600,1047,40.72
2022,AC,Pública,600 a 700,265,10.31
2022,AC,Pública,Acima de 700,5,0.19
2022,AL,Privada,Até 400,54,1.65
2022,AL,Privada,400 a 500,442,13.50
2022,AL,Privada,500 a 600,1348,41.19
2022,AL,Privada,600 a 700,1219,37.24
2022,AL,Privada,Acima de 700,210,6.42
2022,AL,Pública,Até 400,769,10.01
2022,AL,Pública,400 a 500,2774,36.11
2022,AL,Pública,500 a 600,3004,39.10
2022,AL,Pública,600 a 700,1036,13.49
2022,AL,Pública,Acima de 700,99,1.29
2022,AM,Privada,Até 400,28,1.68
2022,AM,Privada,400 a 500,198,11.88
2022,AM,Privada,500 a 600,643,38.57
2022,AM,Privada,600 a 700,658,39.47
2022,AM,Privada,Acima de 700,140,8.40
2022,AM,Pública,Até 400,1591,12.76
2022,AM,Pública,400 a 500,5663,45.41
2022,AM,Pública,500 a 600,4320,34.64
2022,AM,Pública,600 a 700,830,6.66
2022,AM,Pública,Acima de 700,67,0.54
2022,AP,Privada,Até 400,11,1.93
2022,AP,Privada,400 a 500,64,11.23
2022,AP,Privada,500 a 600,237,41.58
2022,AP,Privada,600 a 700,224,39.30
2022,AP,Privada,Acima de 700,34,5.96
2022,AP,Pública,Até 400,220,9.37
2022,AP,Pública,400 a 500,1018,43.36
2022,AP,Pública,500 a 600,922,39.27
2022,AP,Pública,600 a 700,181,7.71
2022,AP,Pública,Acima de 700,7,0.30
2022,BA,Privada,Até 400,97,0.89
2022,BA,Privada,400 a 500,967,8.82
2022,BA,Privada,500 a 600,4229,38.59
2022,BA,Privada,600 a 700,4749,43.34
2022,BA,Privada,Acima de 700,916,8.36
2022,BA,Pública,Até 400,1764,7.88
2022,BA,Pública,400 a 500,8203,36.64
2022,BA,Pública,500 a 600,9243,41.29
2022,BA,Pública,600 a 700,2976,13.29
2022,BA,Pública,Acima de 700,201,0.90
2022,CE,Privada,Até 400,61,0.83
2022,CE,Privada,400 a 500,518,7.08
2022,CE,Privada,500 a 600,2223,30.38
2022,CE,Privada,600 a 700,3331,45.52
2022,CE,Privada,Acima de 700,1184,16.18
2022,CE,Pública,Até 400,10488,16.48
2022,CE,Pública,400 a 500,23981,37.68
2022,CE,Pública,500 a 600,21581,33.91
2022,CE,Pública,600 a 700,7192,11.30
2022,CE,Pública,Acima de 700,402,0.63
2022,DF,Privada,Até 400,22,0.36
2022,DF,Privada,400 a 500,401,6.51
2022,DF,Privada,500 a 600,2203,35.76
2022,DF,Privada,600 a 700,2746,44.57
2022,DF,Privada,Acima de 700,789,12.81
2022,DF,Pública,Até 400,425,4.49
2022,DF,Pública,400 a 500,2746,29.02
2022,DF,Pública,500 a 600,4756,50.25
2022,DF,Pública,600 a 700,1417,14.97
2022,DF,Pública,Acima de 700,120,1.27
2022,ES,Privada,Até 400,23,0.70
2022,ES,Privada,400 a 500,177,5.40
2022,ES,Privada,500 a 600,978,29.82
