ANO,UF,UF_NOME,REGIAO,nota_media_geral,nota_mediana_geral,nota_desvio_padrao,nota_media_objetivas,nota_media_cn,nota_media_ch,nota_media_lc,nota_media_mt,nota_media_redacao,n_participantes,media_nacional,desvio_vs_nacional
2022,AC,Acre,Norte,517.02,513.06,77.86,497.40,476.75,508.94,499.87,504.21,595.55,14278,543.64,-26.62
2022,AL,Alagoas,Nordeste,528.62,525.14,86.06,507.07,485.42,515.03,503.72,524.17,614.86,43424,543.64,-15.02
2022,AM,Amazonas,Norte,503.56,498.96,82.01,491.00,473.98,502.02,491.85,496.29,553.82,41218,543.64,-40.08
2022,AP,Amapá,Norte,510.56,505.91,79.93,492.57,473.89,508.24,493.73,494.53,582.58,14252,543.64,-33.08
2022,BA,Bahia,Nordeste,529.64,525.20,84.23,507.60,485.46,518.24,507.10,519.65,617.80,183106,543.64,-14.00
2022,CE,Ceará,Nordeste,528.69,528.20,96.08,509.42,486.98,516.05,504.03,530.72,605.81,156384,543.64,-14.95
2022,DF,Distrito Federal,Centro-Oeste,560.78,556.54,89.65,540.22,511.66,548.43,541.86,559.04,643.08,44570,543.64,17.14
2022,ES,Espírito Santo,Sudeste,556.93,553.86,85.86,533.85,505.04,542.12,528.44,559.85,649.30,42367,543.64,13.29
2022,GO,Goiás,Centro-Oeste,540.30,536.52,88.62,517.41,492.26,526.00,514.76,536.71,631.86,89852,543.64,-3.34
2022,MA,Maranhão,Nordeste,511.99,506.67,84.92,491.08,475.04,499.94,486.69,502.74,595.64,90132,543.64,-31.65
2022,MG,Minas Gerais,Sudeste,567.14,565.16,87.86,542.45,510.90,548.96,536.05,573.99,665.91,214439,543.64,23.50
2022,MS,Mato Grosso do Sul,Centro-Oeste,536.06,530.32,86.06,516.85,493.66,523.82,514.78,535.21,612.89,28121,543.64,-7.58
2022,MT,Mato Grosso,Centro-Oeste,529.30,525.60,85.77,510.65,488.01,519.55,507.88,527.21,603.94,37297,543.64,-14.34
2022,PA,Pará,Norte,514.09,508.64,82.94,492.99,475.03,506.90,490.29,499.78,598.50,134444,543.64,-29.55
2022,PB,Paraíba,Nordeste,534.16,530.02,88.13,510.31,488.70,518.93,507.40,526.24,629.58,72723,543.64,-9.48
2022,PE,Pernambuco,Nordeste,535.55,533.34,87.31,514.83,490.85,520.56,511.58,536.42,618.41,130358,543.64,-8.09
2022,PI,Piauí,Nordeste,524.91,517.84,91.94,501.27,481.36,509.20,495.00,519.59,619.49,60309,543.64,-18.73
2022,PR,Paraná,Sul,553.32,549.78,81.90,535.48,507.50,542.47,532.50,559.47,624.74,100045,543.64,9.68
2022,RJ,Rio de Janeiro,Sudeste,558.23,556.16,85.49,535.97,504.80,545.98,536.44,556.74,647.27,168854,543.64,14.59
2022,RN,Rio Grande do Norte,Nordeste,540.23,535.94,87.02,518.15,495.65,526.30,516.30,534.42,628.56,62017,543.64,-3.41
2022,RO,Rondônia,Norte,520.89,518.80,80.60,502.09,480.78,512.10,500.58,514.94,596.13,19583,543.64,-22.75
2022,RR,Roraima,Norte,528.59,526.24,84.68,513.32,492.65,523.91,513.18,523.58,589.69,4890,543.64,-15.05
2022,RS,Rio Grande do Sul,Sul,556.16,552.34,82.43,535.21,502.87,542.96,536.31,558.76,639.96,101872,543.64,12.52
2022,SC,Santa Catarina,Sul,561.62,559.68,79.72,540.42,509.93,546.67,537.49,567.62,646.44,55896,543.64,17.98
2022,SE,Sergipe,Nordeste,533.01,528.02,89.84,507.59,486.95,518.23,504.82,520.39,634.69,42037,543.64,-10.63
2022,SP,São Paulo,Sudeste,565.84,563.66,81.67,545.10,511.05,550.95,544.91,573.56,648.84,373249,543.64,22.20
2022,TO,Tocantins,Norte,523.35,517.50,86.28,501.60,482.12,509.83,497.10,517.46,610.41,19076,543.64,-20.29
2023,AC,Acre,Norte,515.05,510.32,85.35,496.05,475.97,508.07,506.25,494.20,591.26,15099,541.88,-26.83
2023,AL,Alagoas,Nordeste,521.79,517.80,92.80,500.66,482.95,507.17,502.09,511.01,606.55,54952,541.88,-20.09
